"Database","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO-BP","GO:1901020","negative regulation of calcium ion transmembrane transporter activity",12,0.864361804384597,1.55536010660251,0.0233625351763564,0.938403135825098,0.938403135825098,255,"tags=8%, list=1%, signal=8%","6588",0.352487857583619
"GO-BP","GO:1900272","negative regulation of long-term synaptic potentiation",12,0.864161584522039,1.55499982461736,0.0233625351763564,0.938403135825098,0.938403135825098,857,"tags=17%, list=3%, signal=16%","11170/134",0.352487857583619
"GO-BP","GO:0097168","mesenchymal stem cell proliferation",10,0.897409187621375,1.55266208268529,0.0194795507369639,0.904680818322326,0.904680818322326,9,"tags=10%, list=0%, signal=10%","10736",0.352487857583619
"GO-BP","GO:0003209","cardiac atrium morphogenesis",19,0.837804916306081,1.54795449537993,0.0120534380765625,0.765466589831312,0.765466589831312,2349,"tags=32%, list=8%, signal=29%","2626/5629/57057/6474/27302/23493",0.380730400722792
"GO-BP","GO:0034342","response to type III interferon",10,0.893036567829482,1.54509674788984,0.0228758239071783,0.938403135825098,0.938403135825098,2470,"tags=40%, list=9%, signal=37%","282617/55337/282616/3458",0.352487857583619
"GO-BP","GO:0006820","monoatomic anion transport",146,-0.755011281246953,-1.54347717303888,0.000788343259595223,0.331104169029994,0.331104169029994,1405,"tags=13%, list=5%, signal=12%","2741/4948/2563/9635/2569/2566/2557/2560/5349/117159/56923/11254/26285/2555/63982/160728/2559/6781/2567",0.477270815362862
"GO-BP","GO:0002281","macrophage activation involved in immune response",19,0.835264653155559,1.54326102594955,0.0140810644695869,0.793651459082378,0.793651459082378,2675,"tags=32%, list=9%, signal=29%","90865/3929/3430/7124/3458/9111",0.380730400722792
"GO-BP","GO:0050847","progesterone receptor signaling pathway",11,-0.96999790600774,-1.5426648779831,4.05274987736865e-05,0.0310666829980203,0.0310666829980203,37,"tags=9%, list=0%, signal=9%","5241",0.557332238758646
"GO-BP","GO:0034332","adherens junction organization",53,-0.845325718351448,-1.54208655567303,0.00120318195259494,0.372353151645172,0.372353151645172,1021,"tags=13%, list=4%, signal=13%","64405/1004/7082/1830/28513/1006/1009",0.45505986738723
"GO-BP","GO:0019585","glucuronate metabolic process",8,-0.969802249815253,-1.53827621167651,0.000903659702214423,0.3320949405638,0.3320949405638,313,"tags=25%, list=1%, signal=25%","54575/54658",0.477270815362862
"GO-BP","GO:0002679","respiratory burst involved in defense response",11,0.900102589173356,1.53482194852751,0.012122950771221,0.765466589831312,0.765466589831312,266,"tags=9%, list=1%, signal=9%","3929",0.380730400722792
