"Rank","Ensembl_ID","DESeq2_log2FC","edgeR_logFC","DESeq2_padj","edgeR_FDR","mean_padj"
58,"ENSG00000205413.7",1.718,1.704,1.25037248188851e-20,4.13400085439826e-09,2.06700042720538e-09
59,"ENSG00000172183.14",1.704,1.688,2.40232496806433e-21,4.21785972549194e-09,2.10892986274717e-09
60,"ENSG00000108679.12",1.7,1.69,3.13278765612413e-21,4.70312237481792e-09,2.35156118741053e-09
61,"ENSG00000272666.1",1.802,1.694,6.11831976627937e-20,4.70312237481792e-09,2.35156118743955e-09
62,"ENSG00000225492.6",2.28,2.379,2.11717740375655e-19,5.15916856451858e-09,2.57958428236515e-09
63,"ENSG00000238015.2",6.915,4.579,2.3620705763482e-09,4.70312237481792e-09,3.53259647558306e-09
64,"ENSG00000135148.11",1.012,1,7.55018043281004e-18,8.43930333760663e-09,4.21965167257841e-09
65,"ENSG00000214872.8",2.335,2.37,1.90818549804396e-20,9.62456604141964e-09,4.81228302071936e-09
66,"ENSG00000184979.9",4.238,4.215,1.44562547932888e-13,1.06508439479211e-08,5.32549425523454e-09
67,"ENSG00000273272.1",1.758,1.623,1.10820590257321e-17,1.16220569853728e-08,5.81102849822743e-09
68,"ENSG00000130813.17",1.282,1.277,2.897786719548e-17,1.17084799565801e-08,5.854239992779e-09
69,"ENSG00000267387.1",1.333,1.329,1.08221036589535e-17,1.17705919220522e-08,5.88529596643717e-09
70,"ENSG00000269481.1",1.314,1.301,7.42107300742057e-17,1.18270983854898e-08,5.91354922985028e-09
71,"ENSG00000215284.2",1.264,1.264,1.64939171883633e-16,1.18724728950734e-08,5.93623653000627e-09
72,"ENSG00000165949.12",3.88,3.799,3.9751456867628e-10,1.15967733650856e-08,5.99714396688093e-09
73,"ENSG00000086065.13",1.202,1.185,6.00433724242325e-17,1.25349319704264e-08,6.26746601523491e-09
74,"ENSG00000266786.1",1.361,1.369,9.66471193282021e-17,1.74050144183768e-08,8.70250725751198e-09
75,"ENSG00000238000.1",1.16,1.15,1.67598120032185e-16,1.97920206778137e-08,9.89601042270593e-09
76,"ENSG00000224891.1",2.247,2.163,1.83344290009841e-11,2.66531847920313e-08,1.33357596105162e-08
77,"ENSG00000163565.18",1.19,1.178,1.37124589638802e-15,2.8297439447146e-08,1.4148720409196e-08
78,"ENSG00000105402.7",1.099,1.089,1.07487071223785e-15,2.86371274425752e-08,1.4318564258723e-08
79,"ENSG00000136147.17",1.218,1.208,8.72852662336644e-16,3.02007738155627e-08,1.51003873442077e-08
80,"ENSG00000279861.1",1.123,1.114,7.27375538984229e-16,3.34948317293045e-08,1.674741622834e-08
81,"ENSG00000277511.1",2.032,1.996,3.39590980539893e-15,3.49088859566434e-08,1.74544446762766e-08
82,"ENSG00000188282.12",1.676,1.714,3.47118733455101e-14,3.99681809630598e-08,1.99841078374666e-08
83,"ENSG00000108771.12",2.064,2.062,2.87994129851529e-18,4.1970691360188e-08,2.0985345681534e-08
84,"ENSG00000221963.5",1.529,1.519,3.83530863459134e-16,5.0827517437192e-08,2.54137589103614e-08
85,"ENSG00000059378.12",1.886,1.878,9.24809882296661e-17,7.35779581531191e-08,3.67889791228001e-08
86,"ENSG00000002549.12",2.003,1.998,3.06602416913628e-17,7.50263946475003e-08,3.75131973390802e-08
87,"ENSG00000173193.13",1.8,1.792,4.65640155876795e-16,9.51368199670888e-08,4.75684102163645e-08
88,"ENSG00000213689.11",1.516,1.516,8.73643055470613e-16,9.51368199670888e-08,4.75684104203659e-08
89,"ENSG00000108691.9",5.138,4.456,1.04751253057982e-07,7.36538454469787e-10,5.27438957562257e-08
90,"ENSG00000130303.12",1.644,1.641,1.541048832203e-15,1.25861179111456e-07,6.29305903262523e-08
91,"ENSG00000123609.10",1.034,1.021,2.43684488855828e-14,1.27322544041454e-07,6.36612842049515e-08
92,"ENSG00000107201.9",1.731,1.726,1.20076971229033e-15,1.47683219222466e-07,7.38416102116179e-08
93,"ENSG00000238025.1",8.166,3.864,3.07178492493394e-11,1.58517298023466e-07,7.92740079363575e-08
94,"ENSG00000142089.15",2.374,2.393,4.13614975812616e-17,1.68142302449856e-07,8.40711512456089e-08
95,"ENSG00000247317.3",2.515,1.988,1.23380212355824e-07,6.30676755639033e-08,9.32239439598637e-08
96,"ENSG00000122643.18",1.417,1.405,1.67226462140379e-14,1.92812501270304e-07,9.64062589964752e-08
97,"ENSG00000141664.9",1.389,1.385,3.6431871468805e-14,1.99261162997036e-07,9.96305997144537e-08
98,"ENSG00000121858.10",1.535,1.526,1.33082293514139e-14,2.02301435458239e-07,1.01150724383234e-07
99,"ENSG00000115267.5",1.684,1.68,1.45570758474375e-14,3.38260632998977e-07,1.69130323778026e-07
