"Database","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO-BP",NA,NA,"GO:0034341","response to type II interferon","14/159","99/14135",0.141414141414141,12.5716282320056,12.3233859337444,4.85603644742957e-12,1.28757806403595e-09,1.28757806403595e-09,"IFITM1/PARP14/GBP4/GBP5/BST2/LGALS9/PARP9/GBP1/STAT1/SHFL/CCL2/GCH1/NUB1/IFITM3",14
"GO-BP",NA,NA,"GO:0045089","positive regulation of innate immune response","23/159","348/14135",0.0660919540229885,5.875533145377,9.82237491915488,7.20380521025528e-12,1.81913233476113e-09,1.81913233476113e-09,"DDX60/IFI35/RIGI/TRIM6/EIF2AK2/TREX1/IRF7/GBP5/IFIH1/PARP9/NMI/FFAR2/ZBP1/OAS1/OASL/RSAD2/CD274/AIM2/PLSCR1/TRIM5/IFI16/OAS3/DHX58",23
"GO-BP",NA,NA,"GO:0035455","response to interferon-alpha","8/159","20/14135",0.4,35.559748427673,16.4962332485674,2.41262900469476e-11,5.81553255086197e-09,5.81553255086196e-09,"IFITM1/MX2/EIF2AK2/BST2/LAMP3/OAS1/ADAR/IFITM3",8
"GO-BP",NA,NA,"GO:0002833","positive regulation of response to biotic stimulus","23/159","371/14135",0.0619946091644205,5.51128176439675,9.39191677494416,2.64865730010536e-11,6.10688246193857e-09,6.10688246193857e-09,"DDX60/IFI35/RIGI/TRIM6/EIF2AK2/TREX1/IRF7/GBP5/IFIH1/PARP9/NMI/FFAR2/ZBP1/OAS1/OASL/RSAD2/CD274/AIM2/PLSCR1/TRIM5/IFI16/OAS3/DHX58",23
"GO-BP",NA,NA,"GO:0002218","activation of innate immune response","20/159","291/14135",0.0687285223367698,6.10992241025308,9.39441334160562,9.37963832717564e-11,2.07250925204218e-08,2.07250925204218e-08,"DDX60/IFI35/RIGI/EIF2AK2/TREX1/IRF7/GBP5/IFIH1/NMI/FFAR2/ZBP1/OAS1/OASL/RSAD2/CD274/AIM2/TRIM5/IFI16/OAS3/DHX58",20
"GO-BP",NA,NA,"GO:0050777","negative regulation of immune response","16/159","178/14135",0.0898876404494382,7.99095470284786,10.0112915640038,1.55302629208141e-10,3.29427937076309e-08,3.29427937076309e-08,"PARP14/TREX1/SERPING1/LGALS9/NMI/OAS1/STAT2/LAG3/TRAFD1/CD274/SERPINB9/USP18/ISG15/IFI16/OAS3/DHX58",16
"GO-BP",NA,NA,"GO:0031349","positive regulation of defense response","24/159","455/14135",0.0527472527472527,4.68919759485797,8.53167348272199,2.66605398026904e-10,5.43772471437181e-08,5.43772471437181e-08,"DDX60/IFI35/RIGI/TRIM6/EIF2AK2/TREX1/IRF7/GBP5/IFIH1/PARP9/GBP1/NMI/FFAR2/ZBP1/OAS1/OASL/RSAD2/CD274/AIM2/PLSCR1/TRIM5/IFI16/OAS3/DHX58",24
"GO-BP",NA,NA,"GO:0070106","interleukin-27-mediated signaling pathway","6/159","10/14135",0.6,53.3396226415094,17.6594030396636,3.72940903872879e-10,7.32483560458473e-08,7.32483560458473e-08,"OAS2/MX1/STAT1/OAS1/OASL/OAS3",6
"GO-BP",NA,NA,"GO:0009617","response to bacterium","24/159","466/14135",0.0515021459227468,4.57850838124544,8.37850021165382,4.32740886862496e-10,8.19580329654221e-08,8.19580329654221e-08,"H2BC8/GBP4/CHMP5/TRIM6/H2BC21/OAS2/SLC30A1/GBP5/LGALS9/GBP1/PDCD1LG2/CXCL10/NR4A1/H2BC4/OAS1/CCL2/H2BC18/GCH1/H2BC5/CD274/TRIM5/ISG15/OAS3/APOL1",24
"GO-BP",NA,NA,"GO:0002683","negative regulation of immune system process","23/159","429/14135",0.0536130536130536,4.76616674729882,8.44913961525797,4.75826284925409e-10,8.7010578929636e-08,8.7010578929636e-08,"PARP14/TREX1/SERPING1/BST2/LGALS9/TNFAIP6/GBP1/NMI/PDCD1LG2/CCL25/SOCS1/OAS1/CCL2/STAT2/LAG3/TRAFD1/CD274/SERPINB9/USP18/ISG15/IFI16/OAS3/DHX58",23
